Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Chronic Venous Insufficiency,Wear compression stockings,Elevate your legs,Exercise regularly,Maintain a healthy weight
Anaphylaxis,Avoid known allergens,Carry an epinephrine auto-injector,Read food labels carefully,Wear a medical alert bracelet
Seasonal Allergies,Monitor pollen counts,Keep windows closed,Use an air conditioner with a clean filter,Rinse off after being outside
Food Allergies,Read ingredient labels carefully,Inform restaurants of your allergy,Avoid cross-contamination,Carry an epinephrine auto-injector
Drug Allergy,Inform all healthcare providers of your allergy,Wear a medical alert bracelet,Know the names of drugs you are allergic to,Read medication labels
Atopic Keratoconjunctivitis,Avoid allergens,Use cold compresses,Apply artificial tears,Take antihistamine eye drops
Angioedema,Avoid triggers,Take antihistamines as prescribed,Carry epinephrine if advised,Monitor for swelling
Urticaria (Hives),Identify and avoid triggers,Take antihistamines,Wear loose, comfortable clothing
Keloids,Avoid unnecessary skin trauma (piercings),Treat acne and wounds promptly,Use silicone sheets on new scars,Discuss risks with your doctor
Vitiligo,Use sunscreen to protect depigmented skin,Avoid skin injury,Consider cosmetic cover-ups,Manage stress
Albinism,Protect skin and eyes from the sun,Wear protective clothing and sunscreen,Use sunglasses and hats,Get regular skin and eye exams
Alopecia Areata,Reduce stress,Protect scalp from sun,Join a support group,Be gentle with your hair
Male Pattern Baldness,Consider medical treatments (minoxidil),Be gentle with hair,Eat a balanced diet,Acceptance and cosmetic options
Trichotillomania,Seek cognitive-behavioral therapy,Identify and manage triggers,Keep hands busy,Reduce stress
Body Dysmorphic Disorder,Seek therapy (CBT),Practice mindfulness and self-compassion,Build a healthy support system,Limit mirror checking
Hoarding Disorder,Seek professional therapy,Start small with decluttering,Create an organizational system,Get support from family and friends
Oppositional Defiant Disorder (ODD),Seek family therapy,Use consistent discipline,Praise positive behavior,Set clear limits
Conduct Disorder,Seek early intervention and therapy,Provide a structured and supportive environment,Teach problem-solving skills,Monitor peer relationships
Tourette Syndrome,Educate yourself and others about TS,Reduce stress and anxiety,Identify and manage tic triggers,Seek behavioral therapy
Down Syndrome,Engage in early intervention programs,Receive regular medical care,Provide an inclusive educational environment,Encourage social activities
Turner Syndrome,Receive regular medical checkups,Consider hormone therapy,Monitor heart health,Get support for learning disabilities
Klinefelter Syndrome,Seek early diagnosis and treatment,Consider testosterone replacement therapy,Get educational support,Address fertility issues early
Marfan Syndrome,Get regular heart and eye checkups,Avoid contact sports,Wear a medical alert bracelet,Take medications to protect the aorta
Ehlers-Danlos Syndrome,Protect joints from injury,Engage in low-impact exercise,Use braces or supports as needed,Be cautious with skin to prevent tearing
Neurofibromatosis,Get regular medical checkups,Monitor for tumors and complications,Protect skin from injury,Seek genetic counseling
Phenylketonuria (PKU),Follow a strict low-phenylalanine diet for life,Get regular blood tests,Avoid aspartame,Work with a metabolic dietitian
Tay-Sachs Disease,Seek genetic counseling before conception,Provide supportive care,Manage symptoms,Join a support group
Hemochromatosis,Get regular blood tests for iron levels,Donate blood regularly (phlebotomy),Avoid iron and vitamin C supplements,Limit alcohol intake
Wilson's Disease,Take chelating medications,Follow a low-copper diet,Get regular medical monitoring,Consider genetic counseling for family
Celiac Sprue,Adhere strictly to a gluten-free diet,Prevent cross-contamination in the kitchen,Read all food and medication labels,Monitor for nutritional deficiencies
Lactose Intolerance,Avoid or limit milk and dairy products,Use lactose-free alternatives,Take lactase enzyme supplements,Read food labels for hidden lactose
Fructose Malabsorption,Limit high-fructose foods (fruits, honey),Follow a low-FODMAP diet,Read food labels
G6PD Deficiency,Avoid fava beans,Avoid certain medications (e.g., some sulfonamides),Avoid naphthalene (mothballs)
Porphyria,Avoid triggers like certain drugs and alcohol,Protect skin from sunlight,Manage stress,Eat a balanced diet with adequate carbohydrates
Sarcoidosis,Follow treatment plan,Don't smoke,Avoid environmental triggers,Maintain a healthy lifestyle
Amyloidosis,Follow doctor's treatment for underlying condition,Manage symptoms,Eat a balanced diet,Get regular medical checkups
Systemic Sclerosis,Keep skin moisturized,Protect hands and feet from cold,Manage acid reflux,Engage in physical therapy
Polymyositis,Take prescribed medications,Engage in physical therapy,Pace your activities,Use assistive devices if needed
Dermatomyositis,Protect skin from sun,Take prescribed medications,Engage in physical therapy,Get regular cancer screenings
Myasthenia Gravis,Take medications on time,Pace activities and get rest,Avoid extreme temperatures,Wear a medical alert bracelet
Guillain-Barre Syndrome,Seek immediate medical care,Follow rehabilitation plan,Prevent complications like blood clots,Get emotional support
Bell's Palsy,Protect the affected eye from dryness,Use physical therapy for facial muscles,Manage pain,Get adequate rest
Trigeminal Neuralgia,Avoid triggers (touching face, cold wind),Take prescribed medication,Explore surgical options
Shingles (Herpes Zoster),Get the shingles vaccine,Seek early treatment with antivirals,Keep blisters clean,Manage pain
Postherpetic Neuralgia,Follow pain management plan,Use topical treatments,Consider nerve blocks,Join a support group
Fibrocystic Breast Changes,Reduce caffeine intake,Wear a supportive bra,Use warm or cold compresses,Perform regular breast self-exams
Breast Cancer,Perform regular breast self-exams,Get regular mammograms,Maintain a healthy weight,Limit alcohol consumption
Ovarian Cancer,Be aware of persistent symptoms (bloating, pain),Know your family history,Maintain a healthy weight
Cervical Cancer,Get the HPV vaccine,Have regular Pap tests,Don't smoke,Practice safe sex
Uterine (Endometrial) Cancer,Report any postmenopausal bleeding,Maintain a healthy weight,Manage diabetes,Discuss risks of hormone therapy
Vaginal/Vulvar Cancer,Get the HPV vaccine,Perform regular self-exams,Report any unusual sores or itching,Don't smoke
Bladder Cancer,Don't smoke,Limit exposure to certain chemicals,Drink plenty of fluids,Report blood in urine to a doctor
Kidney (Renal) Cancer,Stop smoking,Maintain a healthy weight,Control high blood pressure,Avoid exposure to harmful chemicals
Thyroid Cancer,Check your neck for lumps,Avoid unnecessary radiation exposure,Know your family history,Eat a balanced diet
Adrenal Cancer,Monitor for hormonal imbalances,Seek genetic counseling if high-risk,Report unusual symptoms,Follow medical advice
Pituitary Tumors,Report vision changes or headaches,Get regular checkups,Follow treatment for hormonal imbalances,Seek specialized medical care
Brain Cancer,Avoid unnecessary radiation exposure,Be aware of persistent neurological symptoms,Know your family history,Maintain a healthy lifestyle
Spinal Tumors,Report persistent, unexplained back pain,Note any new weakness or numbness,Seek prompt medical evaluation
Bone Cancer,Report persistent bone pain or swelling,Protect against injury,Undergo regular checkups if high-risk,Maintain a healthy lifestyle
Rhabdomyosarcoma,Be aware of lumps or swelling,Seek prompt medical care for children's symptoms,Follow treatment protocols,Participate in follow-up care
Retinoblastoma,Attend regular infant eye exams,Look for a white pupil in photos,Know your family history,Seek immediate specialist care
Wilms' Tumor,Attend regular well-child checkups,Be aware of abdominal swelling,Report blood in the urine,Follow pediatric cancer protocols
Neuroblastoma,Attend well-child checkups,Report any unusual lumps or pain,Follow treatment plans carefully,Engage in long-term follow-up
Testicular Torsion,Seek immediate medical care for severe testicular pain,Wear supportive gear during sports,Be aware of previous intermittent pain,Follow up after surgery
Epididymitis,Practice safe sex,Treat UTIs promptly,Avoid heavy lifting with a full bladder,Seek medical care for scrotal pain
Orchitis,Get vaccinated for mumps,Practice safe sex,Seek prompt treatment for urinary symptoms,Get adequate rest
Hydrocele,Protect the scrotum from injury,Seek medical evaluation for swelling,Follow up as advised,Consider surgery if it becomes large
Varicocele,Wear supportive underwear,Avoid prolonged standing,Consider surgical options for fertility issues,Manage any discomfort
Balanitis,Practice good genital hygiene,Retract and clean the foreskin daily,Ensure the area is dry,Avoid harsh soaps
Phimosis,Practice gentle stretching of the foreskin,Maintain good hygiene,Do not forcibly retract the foreskin,Seek medical advice if it causes problems
Paraphimosis,Seek immediate medical attention,Maintain good hygiene,Ensure foreskin is returned after retraction,Use lubrication during sexual activity
Peyronie's Disease,Avoid sexual activity that causes penile injury,Seek medical advice early,Consider available treatments,Communicate with your partner
Priapism,Seek immediate medical attention for prolonged erections,Treat underlying medical conditions,Avoid misuse of erection-inducing drugs,Follow doctor's advice
Inguinal Hernia,Use proper lifting techniques,Maintain a healthy weight,Avoid straining during bowel movements,Don't smoke
Femoral Hernia,Maintain a healthy weight,Eat a high-fiber diet,Avoid heavy lifting,Treat persistent coughs
Umbilical Hernia,Maintain a healthy weight,Avoid straining,Manage conditions that increase abdominal pressure,Seek medical advice
Hiatal Hernia,Maintain a healthy weight,Avoid foods that cause heartburn,Eat small meals,Don't lie down after eating
Incisional Hernia,Follow post-surgery activity restrictions,Use proper lifting techniques,Maintain a healthy weight,Support abdomen when coughing
Abdominal Adhesions,Use minimally invasive surgery when possible,Handle tissues gently during surgery,Use adhesion barriers,Follow post-op instructions
Intestinal Obstruction,Treat hernias and other causes,Eat a low-fiber diet if at risk,Seek immediate care for symptoms,Follow up on abdominal surgeries
Volvulus,Seek immediate medical care for severe abdominal pain,Be aware of risk factors,Follow up after any abdominal surgery,Ensure proper nutrition in infants
Intussusception,Seek immediate pediatric care for severe, colicky pain,Be aware of symptoms in infants,Follow up after reduction procedure
Anal Fissure,Eat a high-fiber diet,Stay well-hydrated,Avoid straining during bowel movements,Keep the anal area clean and dry
Anal Fistula,Treat underlying Crohn's disease or infection,Maintain good perianal hygiene,Seek medical treatment for abscesses,Follow up after surgery
Perianal Abscess,Maintain good hygiene,Treat constipation,Protect the area from trauma,Seek prompt medical drainage
Pilonidal Cyst,Keep the area clean and dry,Avoid prolonged sitting,Maintain a healthy weight,Remove hair from the area
Esophagitis,Manage GERD,Avoid trigger foods,Take pills with plenty of water,Stop smoking
Barrett's Esophagus,Manage GERD effectively,Get regular endoscopic surveillance,Maintain a healthy weight,Avoid tobacco and alcohol
Mallory-Weiss Tear,Avoid forceful vomiting,Limit alcohol consumption,Treat conditions that cause vomiting,Seek care for blood in vomit
Esophageal Varices,Treat underlying liver disease,Avoid alcohol,Take medications to lower blood pressure,Undergo regular screening
Achalasia,Eat slowly and chew thoroughly,Drink plenty of water with meals,Sleep with your head elevated,Avoid eating before bed
Gastroparesis,Eat small, frequent meals,Choose low-fat, low-fiber foods
Dumping Syndrome,Eat small meals,Avoid liquids with meals,Lie down after eating,Limit high-sugar foods
Bacterial Overgrowth Syndrome (SIBO),Treat underlying conditions,Follow a low-FODMAP diet,Take prescribed antibiotics,Consider prokinetics
Short Bowel Syndrome,Work with a nutrition specialist,Stay hydrated,Take vitamin and mineral supplements,Monitor for complications
Whipple's Disease,Take long-term antibiotic therapy,Get regular follow-up care,Monitor for neurological symptoms,Maintain good nutrition
Tropical Sprue,Take antibiotics and folic acid,Maintain a balanced diet,Avoid travel to endemic areas if possible,Seek medical care for chronic diarrhea
Ischemic Colitis,Maintain good cardiovascular health,Stay hydrated,Don't smoke,Manage blood pressure
Thrombosed Hemorrhoid,Eat a high-fiber diet,Drink plenty of water,Avoid straining,Use stool softeners if needed
Rectal Prolapse,Prevent constipation and straining,Do Kegel exercises,Maintain a healthy weight,Treat chronic cough
Fecal Incontinence,Do Kegel exercises,Eat a high-fiber diet,Schedule bowel movements,Treat underlying causes like diarrhea
Pruritus Ani (Anal Itching),Keep the area clean and dry,Avoid harsh soaps and vigorous wiping,Wear cotton underwear,Avoid irritant foods
Condyloma (Anal Warts),Get the HPV vaccine,Practice safe sex,Don't smoke,Seek treatment to reduce transmission
Bursitis of the Hip,Avoid repetitive stress on the hip,Stretch properly,Maintain a healthy weight,Strengthen hip muscles
Snapping Hip Syndrome,Stretch hip flexors and IT band,Strengthen core and hip muscles,Modify activities to avoid the snap,Use ice after activity
Meralgia Paresthetica,Wear loose clothing,Maintain a healthy weight,Avoid prolonged standing,Avoid direct pressure on the thigh
Piriformis Syndrome,Stretch the piriformis muscle,Avoid sitting for long periods,Apply heat or cold packs,Get professional massage
Sacroiliitis,Use proper posture,Engage in low-impact exercise,Stretch regularly,Avoid activities that strain the lower back
Coccydynia (Tailbone Pain),Use a donut or wedge cushion,Avoid prolonged sitting,Apply ice or heat,Avoid constipation
Degenerative Disc Disease,Maintain a healthy weight,Strengthen core muscles,Practice good posture,Avoid smoking
Spinal Stenosis,Engage in physical therapy,Maintain a healthy weight,Use proper body mechanics,Consider epidural steroid injections
Spondylolisthesis,Strengthen core muscles,Avoid high-impact sports,Maintain a healthy weight,Practice good posture
Radiculopathy (Pinched Nerve),Maintain good posture,Avoid repetitive motions,Maintain a healthy weight,Use ergonomic workstations
Myelopathy,Protect your spine from injury,Seek early treatment for spinal disorders,Maintain good posture,Follow up on any neurological symptoms
Cauda Equina Syndrome,Seek immediate medical care for symptoms,Be cautious with heavy lifting,Treat herniated discs promptly,Report any new bowel/bladder issues
Torticollis,Stretch neck muscles gently,Apply heat,Use proper posture at desks,Sleep with a supportive pillow
Thoracic Outlet Syndrome,Practice good posture,Stretch chest and neck muscles,Strengthen shoulder blade muscles,Avoid carrying heavy bags on your shoulder
Brachial Plexus Injury,Wear protective gear in sports,Drive safely,Avoid difficult childbirth deliveries if possible,Use caution with heavy machinery
Erb's Palsy,Ensure careful delivery of newborns,Provide physical therapy for affected infants,Protect the arm from further injury,Encourage use of the affected arm
Cubital Tunnel Syndrome,Avoid leaning on your elbow,Keep your elbow straight when sleeping,Avoid repetitive elbow bending,Use a padded brace
Radial Tunnel Syndrome,Avoid repetitive wrist and forearm motions,Take frequent breaks,Use ergonomic tools,Stretch forearm muscles
De Quervain's Tenosynovitis,Avoid repetitive thumb and wrist movements,Use a splint to rest the thumb,Avoid pinching with the thumb,Perform gentle stretching exercises
Trigger Finger,Rest the affected finger,Avoid repetitive gripping actions,Wear a splint at night,Consider steroid injections
Dupuytren's Contracture,Be aware of family history,Limit alcohol consumption,Monitor for thickening of palm tissue,Seek early medical advice
Ganglion Cyst,Avoid repetitive stress to the wrist,Wear a brace if it causes pain,Monitor for changes,Seek medical treatment if it's painful
Bunions (Hallux Valgus),Wear shoes with a wide toe box,Avoid high heels,Use pads to cushion the bunion,Maintain a healthy weight
Hammertoe,Wear properly fitting shoes,Avoid shoes that are too short,Stretch your toes,Use cushions or pads
Metatarsalgia,Wear shoes with good arch support,Use metatarsal pads,Maintain a healthy weight,Avoid high-impact activities
Morton's Neuroma,Wear wide, comfortable shoes,Avoid high heels,Use arch supports or foot pads
Achilles Tendonitis,Stretch your calf muscles daily,Increase training intensity gradually,Wear supportive shoes,Cross-train with low-impact activities
Shin Splints,Wear proper footwear,Increase workout intensity slowly,Warm up before exercise,Run on softer surfaces
Stress Fracture,Increase activity level gradually,Wear proper athletic shoes,Eat a diet rich in calcium and Vitamin D,Listen to your body and rest
Compartment Syndrome,Seek immediate care for severe pain after injury,Increase exercise intensity gradually,Wear proper footwear,Stretch regularly
Osgood-Schlatter Disease,Modify activities to reduce knee strain,Stretch quadriceps and hamstrings,Use a knee strap or pad,Apply ice after activity
Patellofemoral Pain Syndrome,Strengthen quadriceps muscles,Stretch hamstrings and IT band,Wear appropriate shoes for your activity,Avoid deep squats
Chondromalacia Patella,Strengthen the quadriceps,Avoid activities that stress the knee,Wear a knee brace for support,Maintain a healthy weight
IT Band Syndrome,Stretch the iliotibial band,Strengthen hip abductor muscles,Avoid running on banked surfaces,Warm up thoroughly
Meniscus Tear,Use caution when twisting or pivoting,Strengthen leg muscles,Warm up before exercise,Wear proper footwear
ACL Sprain/Tear,Strengthen leg muscles (hamstrings/quads),Practice proper landing techniques,Wear appropriate footwear,Avoid sudden changes in direction
PCL Sprain/Tear,Avoid direct blows to the front of the knee,Strengthen leg muscles,Use proper technique in sports,Wear protective gear
MCL/LCL Sprain,Wear a brace during sports,Avoid hits to the side of the knee,Strengthen surrounding leg muscles,Use proper athletic technique
Rotator Cuff Tear,Strengthen shoulder muscles,Avoid repetitive overhead lifting,Use proper form when lifting,Warm up before sports
Shoulder Impingement,Maintain good posture,Strengthen rotator cuff muscles,Avoid repetitive overhead activities,Stretch chest muscles
Frozen Shoulder (Adhesive Capsulitis),Manage diabetes,Stretch the shoulder gently,Seek physical therapy early,Keep the shoulder mobile
Tennis Elbow (Lateral Epicondylitis),Use proper technique in sports/work,Strengthen forearm muscles,Wear a counterforce brace,Avoid overuse
Golfer's Elbow (Medial Epicondylitis),Warm up before activity,Use proper form,Strengthen wrist flexors,Take breaks from repetitive gripping
Little League Elbow,Limit pitch counts,Ensure proper throwing mechanics,Avoid playing through pain,Incorporate rest periods
Rickets,Ensure adequate intake of Vitamin D and calcium,Get safe sun exposure,Eat a balanced diet,Use supplements if advised
Osteomalacia,Get enough Vitamin D and calcium,Treat underlying digestive or kidney diseases,Get moderate sun exposure,Take supplements as prescribed
Paget's Disease of Bone,Ensure adequate calcium and vitamin D,Exercise regularly,Prevent falls,Get regular medical checkups
Osteomyelitis,Clean and care for wounds properly,Manage diabetes,Avoid illicit injectable drugs,Seek prompt treatment for infections
Septic Arthritis,Treat infections elsewhere in the body promptly,Protect your joints from injury,Manage chronic illnesses,Seek immediate care for a hot
Reactive Arthritis,Practice safe sex,Ensure food is handled and cooked properly,Treat infections promptly,Maintain good hygiene
Kawasaki Disease,Seek prompt pediatric medical care for fever,Follow treatment plan carefully,Undergo regular heart checkups after illness,Be aware of symptoms
Henoch-Schonlein Purpura,Treat preceding infections,Get adequate rest,Stay hydrated,Monitor for kidney complications
Polyarteritis Nodosa,Follow treatment plan for underlying infections,Take prescribed medications,Report new symptoms to your doctor,Get regular checkups
Granulomatosis with Polyangiitis,Take medications as prescribed,Get regular checkups,Protect your lungs from irritants,Report symptoms promptly
Microscopic Polyangiitis,Adhere to immunosuppressive therapy,Monitor kidney function,Report lung symptoms immediately,Follow up regularly with a specialist
Eosinophilic Granulomatosis with Polyangiitis,Manage asthma and allergies,Take medications as prescribed,Report new neurological or skin symptoms,Work closely with specialists
Takayasu's Arteritis,Take prescribed medications,Monitor blood pressure in both arms,Get regular imaging studies,Report symptoms of poor circulation
Giant Cell Arteritis,Seek immediate medical care for new headaches,Report any vision changes instantly,Take steroid medication as prescribed,Get regular follow-up care
Behcet's Disease,Manage stress,Practice good oral hygiene,Take medications as prescribed,Protect your skin from injury
CREST Syndrome,Protect hands from cold,Manage GERD,Keep skin moisturized,Engage in gentle stretching
Mixed Connective Tissue Disease,Protect from sun and cold exposure,Take medications as directed,Pace your activities,Monitor for organ involvement
Antiphospholipid Syndrome,Take anticoagulant medication as prescribed,Avoid prolonged immobility,Manage cardiovascular risk factors,Consult doctor before pregnancy
Dermatofibroma,Avoid skin trauma,Monitor the lesion for changes,Protect it from irritation,Seek removal if it is bothersome
Keratoacanthoma,Protect skin from sun exposure,Don't smoke,Monitor for recurrence after treatment,See a dermatologist regularly
Sebaceous Cyst,Keep skin clean,Avoid squeezing or popping the cyst,Apply warm compresses to help it drain,Seek medical removal if it becomes inflamed
Lipoma,Monitor for changes in size or texture,Seek removal if it is painful or growing rapidly,Protect the area from trauma,Maintain a healthy lifestyle
Actinic Keratosis,Use sunscreen and wear protective clothing,Avoid peak sun hours,Check your skin regularly,Seek prompt dermatological treatment
Dysplastic Nevus (Atypical Mole),Protect skin from UV radiation,Perform monthly skin self-exams,See a dermatologist for regular checks,Photograph moles to track changes
Cherry Angioma,Protect skin from injury,Monitor for any bleeding,Seek cosmetic removal if desired,Maintain a healthy lifestyle
Seborrheic Keratosis,Protect skin from sun,Avoid picking or scratching the growths,Keep skin moisturized,See a doctor if they become irritated
Acanthosis Nigricans,Maintain a healthy weight,Manage insulin resistance and diabetes,Treat the underlying condition,Use topical retinoids if prescribed
Melasma,Use broad-spectrum sunscreen daily,Wear a wide-brimmed hat,Use gentle skin care products,Consider topical lightening agents
Photodermatitis,Avoid sun exposure during peak hours,Wear sun-protective clothing,Use a high-SPF, broad-spectrum sunscreen
Polymorphous Light Eruption,Gradually increase sun exposure in spring,Use broad-spectrum sunscreen,Wear protective clothing,Take antihistamines before sun exposure
Solar Urticaria,Avoid sun exposure,Wear tightly woven protective clothing,Use broad-spectrum sunscreen,Take high-dose antihistamines
Xeroderma Pigmentosum,Practice complete sun avoidance,Wear UV-protective clothing and glasses,Use high-SPF sunscreen,Get frequent skin cancer screenings
Ichthyosis Vulgaris,Moisturize skin frequently,Use mild soaps,Take lukewarm baths,Use a humidifier
Keratosis Pilaris,Exfoliate gently,Moisturize regularly,Avoid harsh soaps,Use lotions with lactic or salicylic acid
Pityriasis Rosea,Avoid overheating and sweating,Use lukewarm water for bathing,Apply anti-itch lotions,Wear soft
Lichen Planus,Reduce stress,Avoid injury to your skin,Maintain good oral hygiene,Avoid foods that irritate your mouth
Discoid Lupus Erythematosus,Avoid sun exposure,Use high-SPF sunscreen,Wear protective clothing,Don't smoke
Erythema Multiforme,Treat underlying infections (like herpes),Avoid triggering medications,Manage symptoms with antihistamines,Use soothing mouthwashes
Stevens-Johnson Syndrome (SJS),Know your medication allergies,Be cautious with high-risk drugs,Seek immediate care for rash with fever,Inform all doctors of your drug history
Toxic Epidermal Necrolysis (TEN),Avoid known drug triggers,Be aware of SJS/TEN symptoms,Seek emergency medical care immediately,Inform all medical personnel of drug allergies
Bullous Pemphigoid,Take prescribed medications,Keep skin clean to prevent infection,Be gentle with skin,Protect skin from trauma
Pemphigus Vulgaris,Take immunosuppressants as prescribed,Practice meticulous oral hygiene,Eat a soft, non-irritating diet
Dermatitis Herpetiformis,Follow a strict gluten-free diet,Take prescribed medications,Protect skin from injury,Get regular follow-ups
Hidradenitis Suppurativa,Maintain a healthy weight,Stop smoking,Wear loose-fitting clothing,Practice good skin hygiene
Folliculitis,Practice good hygiene,Avoid tight clothing,Shave with care and a clean razor,Avoid contaminated hot tubs
Furuncle (Boil),Keep the area clean,Use warm compresses,Do not squeeze or pop it,Seek medical care if it worsens
Carbuncle,See a doctor for treatment,Keep the area clean and covered,Wash hands after touching it,Do not share personal items
Paronychia,Keep hands and feet dry,Avoid biting nails,Push cuticles back gently,Wear gloves for wet work
Ingrown Toenail,Cut toenails straight across,Wear shoes that fit properly,Keep feet clean and dry,Avoid trauma to the toe
Corns and Calluses,Wear properly fitting shoes,Use protective pads,Soak feet and use a pumice stone,Moisturize your feet
Blisters,Wear well-fitting shoes,Keep feet dry,Use protective bandages on friction-prone areas,Break in new shoes gradually
Warts,Avoid touching warts,Wash hands after touching a wart,Keep warts covered,Don't share personal items like towels
Molluscum Contagiosum,Avoid scratching the bumps,Don't share towels or clothing,Keep the lesions covered,Practice good hygiene
Herpes Simplex Virus 1 (Oral),Avoid kissing when a sore is present,Don't share utensils, drinks, or lip balm
Herpes Simplex Virus 2 (Genital),Use condoms,Avoid sexual contact during outbreaks,Take antiviral medication,Disclose your status to partners
Croup,Wash hands frequently,Get children vaccinated (flu, diphtheria),Use a cool-mist humidifier
Epiglottitis,Get the Hib vaccine,Practice good hygiene,Avoid sharing cups or utensils,Seek immediate care for breathing difficulty
Bronchiolitis,Wash hands often,Avoid contact with sick people,Keep infants away from crowds,Don't smoke around children
Respiratory Syncytial Virus (RSV),Wash hands frequently,Clean and disinfect surfaces,Avoid close contact with sick individuals,Keep children home when sick
Adenovirus Infection,Wash hands thoroughly,Avoid touching your face,Clean contaminated surfaces,Stay home when sick
Rhinovirus (Common Cold),Wash your hands often,Avoid touching eyes, nose, and mouth
Enterovirus Infection,Practice good hand hygiene,Avoid close contact with infected individuals,Clean and disinfect surfaces,Drink clean water
Parainfluenza Virus Infection,Wash hands frequently,Cover coughs and sneezes,Avoid sharing personal items,Clean surfaces regularly
Coronavirus (Non-COVID-19),Wash hands with soap and water,Avoid sick people,Don't touch your face with unwashed hands,Stay home if you feel unwell
COVID-19,Get vaccinated and boosted,Wear a mask in crowded indoor spaces,Wash hands frequently,Isolate if you test positive
SARS (Severe Acute Respiratory Syndrome),Practice diligent hand hygiene,Avoid contact with respiratory secretions,Wear a mask if symptomatic,Follow public health guidance
MERS (Middle East Respiratory Syndrome),Avoid contact with camels,Practice good hand hygiene,Don't drink raw camel milk,Cook meat thoroughly
Avian Influenza (Bird Flu),Avoid contact with sick or dead birds,Avoid poultry farms and live bird markets,Cook poultry and eggs thoroughly,Practice good hygiene
Swine Flu (H1N1),Get the seasonal flu vaccine,Wash hands frequently,Cover your coughs and sneezes,Stay home when you are sick
Legionnaires' Disease,Maintain and clean water systems properly,Avoid smoking,Maintain a healthy immune system,Be aware of risks from hot tubs and AC units
Psittacosis,Handle birds in well-ventilated areas,Wear a mask when cleaning cages,Avoid mouth-to-beak contact,Buy birds from reputable sources
Q Fever,Avoid contact with birthing animals,Don't drink unpasteurized milk,Use personal protective equipment on farms,Control ticks
Tularemia,Use insect repellent,Avoid handling sick or dead animals,Wear gloves when handling game meat,Cook game meat thoroughly
Brucellosis,Avoid unpasteurized dairy products,Wear gloves when handling animal tissues,Cook meat thoroughly,Vaccinate domestic animals
Erysipelas,Keep skin clean and well-cared for,Treat any breaks in the skin promptly,Manage conditions like lymphedema,Wear proper footwear
Necrotizing Fasciitis,Practice good wound care,Wash hands frequently,Avoid hot tubs/pools with open wounds,Seek immediate care for infected wounds
Gas Gangrene,Clean all wounds thoroughly,Seek prompt medical care for deep wounds,Look for signs of infection,Follow up on diabetic foot care
Foodborne Illness,Wash hands and surfaces often,Separate raw meats from other foods,Cook to the right temperature,Refrigerate foods promptly
Traveler's Diarrhea,Eat and drink safely (bottled water, cooked foods),Wash hands often,Avoid street vendor food
Cyclosporiasis,Avoid food or water contaminated with feces,Wash produce thoroughly,Follow safe food handling practices,Be cautious when traveling
Cryptosporidiosis,Avoid swallowing water while swimming,Wash hands with soap and water,Don't swim if you have diarrhea,Drink filtered or boiled water
Isosporiasis,Practice good hygiene,Drink safe, purified water,Wash fruits and vegetables well
Balantidiasis,Ensure proper sanitation and pig husbandry,Avoid contamination of food/water by pig feces,Purify drinking water,Practice good personal hygiene
Blastomycosis,Avoid disturbing soil in wooded areas,Wear a filtration mask for high-risk activities,Be aware of risks near waterways,Maintain a strong immune system
Histoplasmosis,Avoid areas with bird or bat droppings,Spray contaminated areas with water to reduce dust,Wear a respirator mask in high-risk areas,Improve ventilation in chicken coops
Coccidioidomycosis (Valley Fever),Avoid breathing in dust in endemic areas,Stay indoors during dust storms,Use air filtration,Wear a mask for outdoor work
Aspergillosis,Avoid areas with decaying vegetation or dust,Use air filtration systems,Wear a mask in dusty environments,Take anti-fungal meds if immunocompromised
Pneumocystis Pneumonia (PCP),Take prophylactic medication if immunocompromised,Maintain a strong immune system,Follow up regularly with healthcare provider,Avoid close contact with infected individuals
Toxoplasmosis,Cook meat to a safe temperature,Avoid cleaning cat litter boxes if pregnant,Wash hands after handling raw meat,Wash fruits and vegetables
Babesiosis,Use tick repellent in wooded areas,Wear protective clothing,Check for ticks after being outdoors,Have pets treated for ticks
Leishmaniasis,Avoid outdoor activities at dusk and dawn,Use insect repellent,Sleep under a mosquito net,Wear protective clothing
Chagas Disease,Avoid sleeping in mud or thatch houses,Use insecticide-soaked netting,Screen blood donations,Practice good hygiene
African Trypanosomiasis (Sleeping Sickness),Use insect repellent,Wear neutral-colored, thick clothing,Inspect vehicles for tsetse flies
Onchocerciasis (River Blindness),Use insect repellent,Wear protective clothing,Avoid areas near fast-flowing rivers,Participate in mass drug administration programs
Loiasis,Use insect repellent (DEET),Wear long sleeves and pants,Use permethrin-treated clothing,Screen windows and doors
Filariasis,Use mosquito nets,Use mosquito repellent,Eliminate mosquito breeding sites,Participate in mass drug administration
Dracunculiasis (Guinea Worm Disease),Drink water only from safe sources,Filter all drinking water,Prevent infected people from entering water sources,Follow eradication program guidelines
Trichinosis,Cook meat, especially pork and wild game, thoroughly,Freeze pork less than 6 inches thick for 20 day
Taeniasis (Tapeworm),Cook meat and fish thoroughly,Practice good hygiene and handwashing,Ensure proper sanitation,Treat infected individuals promptly
Cysticercosis,Practice good hand hygiene,Drink safe water,Wash and peel raw fruits and vegetables,Cook pork thoroughly
